"personenkonto";"rechnungsnr";"buchdatum";"gkonto";"belegnr";"extbelegnr";"belegdatum";"prozent";"steuercode";"buchcode";"betrag";"steuer";"buchsymbol";"konto";"verbuchkz";"gegenbuchkz";"netto";"kost";"text"
200222;"RE-2026-00001";;;00001;"";;;;;-81,24;-16,25;;4000;"A";"E";-81,24;00001;"RE-2026-00001"
200222;"RE-2026-00002";;;00002;"";;;;;-0,00;0,00;;4000;"A";"E";-0,00;00002;"RE-2026-00002"
200129;"RE-2026-00003";;;00003;"";;;;;-1543,25;-308,65;;4000;"A";"E";-1543,25;00003;"RE-2026-00003"
200158;"RE-2026-00004";;;00004;"";;;;;-559,00;-111,80;;4000;"A";"E";-559,00;00004;"RE-2026-00004"
200094;"RE-2026-00005";;;00005;"";;;;;-223,00;-44,60;;4000;"A";"E";-223,00;00005;"RE-2026-00005"
200065;"RE-2026-00006";;;00006;"";;;;;-188,00;-37,60;;4000;"A";"E";-188,00;00006;"RE-2026-00006"
200153;"RE-2026-00007";;;00007;"";;;;;-127,50;-25,50;;4000;"A";"E";-127,50;00007;"RE-2026-00007"
200258;"RE-2026-00008";;;00008;"";;;;;-91,17;-18,23;;4000;"A";"E";-91,17;00008;"RE-2026-00008"
200080;"RE-2026-00009";;;00009;"";;;;;-219,85;-43,97;;4000;"A";"E";-219,85;00009;"RE-2026-00009"
200083;"RE-2026-00010";;;00010;"";;;;;-0,00;0,00;;4000;"A";"E";-0,00;00010;"RE-2026-00010"
200067;"RE-2026-00011";;;00011;"";;;;;-450,72;-90,14;;4000;"A";"E";-450,72;00011;"RE-2026-00011"
200294;"RE-2026-00012";;;00012;"";;;;;-209,51;-41,90;;4000;"A";"E";-209,51;00012;"RE-2026-00012"
200205;"RE-2026-00013";;;00013;"";;;;;-74,17;-14,83;;4000;"A";"E";-74,17;00013;"RE-2026-00013"
200038;"RE-2026-00014";;;00014;"";;;;;-434,55;-86,91;;4000;"A";"E";-434,55;00014;"RE-2026-00014"
200273;"RE-2026-00015";;;00015;"";;;;;-1666,34;-333,26;;4000;"A";"E";-1666,34;00015;"RE-2026-00015"
200073;"RE-2026-00016";;;00016;"";;;;;-790,23;-158,01;;4000;"A";"E";-790,23;00016;"RE-2026-00016"
200021;"RE-2026-00017";;;00017;"";;;;;-134,08;-26,82;;4000;"A";"E";-134,08;00017;"RE-2026-00017"
200137;"RE-2026-00018";;;00018;"";;;;;-633,16;-126,64;;4000;"A";"E";-633,16;00018;"RE-2026-00018"
200263;"RE-2026-00019";;;00019;"";;;;;-193,07;-38,61;;4000;"A";"E";-193,07;00019;"RE-2026-00019"
200228;"RE-2026-00020";;;00020;"";;;;;-165,53;-33,10;;4000;"A";"E";-165,53;00020;"RE-2026-00020"
200072;"RE-2026-00021";;;00021;"";;;;;-43,25;-8,65;;4000;"A";"E";-43,25;00021;"RE-2026-00021"
200253;"RE-2026-00022";;;00022;"";;;;;-112,68;-22,54;;4000;"A";"E";-112,68;00022;"RE-2026-00022"
200313;"RE-2026-00023";;;00023;"";;;;;-112,68;-22,54;;4000;"A";"E";-112,68;00023;"RE-2026-00023"
200269;"RE-2026-00024";;;00024;"";;;;;-60,84;-12,17;;4000;"A";"E";-60,84;00024;"RE-2026-00024"
200041;"RE-2026-00025";;;00025;"";;;;;-99,32;-19,86;;4000;"A";"E";-99,32;00025;"RE-2026-00025"
200036;"RE-2026-00026";;;00026;"";;;;;-112,68;-22,54;;4000;"A";"E";-112,68;00026;"RE-2026-00026"
200233;"RE-2026-00027";;;00027;"";;;;;-50,71;-10,14;;4000;"A";"E";-50,71;00027;"RE-2026-00027"
200174;"RE-2026-00028";;;00028;"";;;;;-50,71;-10,14;;4000;"A";"E";-50,71;00028;"RE-2026-00028"
200308;"RE-2026-00029";;;00029;"";;;;;-118,28;-23,66;;4000;"A";"E";-118,28;00029;"RE-2026-00029"
200309;"RE-2026-00030";;;00030;"";;;;;-843,08;-168,61;;4000;"A";"E";-843,08;00030;"RE-2026-00030"
200037;"RE-2026-00031";;;00031;"";;;;;-1152,98;-224,92;;4000;"A";"E";-1152,98;00031;"RE-2026-00031"
200139;"RE-2026-00032";;;00032;"";;;;;-0,00;0,00;;4000;"A";"E";-0,00;00032;"RE-2026-00032"
200276;"RE-2026-00033";;;00033;"";;;;;-213,00;-42,60;;4000;"A";"E";-213,00;00033;"RE-2026-00033"
200221;"RE-2026-00034";;;00034;"";;;;;-413,00;-82,60;;4000;"A";"E";-413,00;00034;"RE-2026-00034"
200203;"RE-2026-00035";;;00035;"";;;;;-379,90;-75,98;;4000;"A";"E";-379,90;00035;"RE-2026-00035"
200221;"RE-2026-00036";;;00036;"";;;;;-413,00;-82,60;;4000;"A";"E";-413,00;00036;"RE-2026-00036"
200033;"RE-2026-00037";;;00037;"";;;;;-56,34;-11,27;;4000;"A";"E";-56,34;00037;"RE-2026-00037"
200080;"RE-2026-00038";;;00038;"";;;;;-74,49;-14,90;;4000;"A";"E";-74,49;00038;"RE-2026-00038"
200066;"RE-2026-00039";;;00039;"";;;;;-96,39;-19,28;;4000;"A";"E";-96,39;00039;"RE-2026-00039"
200216;"RE-2026-00040";;;00040;"";;;;;-84,51;-16,90;;4000;"A";"E";-84,51;00040;"RE-2026-00040"
200012;"RE-2026-00041";;;00041;"";;;;;-42,16;-8,44;;4000;"A";"E";-42,16;00041;"RE-2026-00041"
200022;"RE-2026-00042";;;00042;"";;;;;-405,65;-81,13;;4000;"A";"E";-405,65;00042;"RE-2026-00042"
200223;"RE-2026-00043";;;00043;"";;;;;-76,06;-15,21;;4000;"A";"E";-76,06;00043;"RE-2026-00043"
200245;"RE-2026-00044";;;00044;"";;;;;-48,62;-8,48;;4000;"A";"E";-48,62;00044;"RE-2026-00044"
200150;"RE-2026-00045";;;00045;"";;;;;-338,82;-67,77;;4000;"A";"E";-338,82;00045;"RE-2026-00045"
200096;"RE-2026-00046";;;00046;"";;;;;-134,08;-26,82;;4000;"A";"E";-134,08;00046;"RE-2026-00046"
200115;"RE-2026-00047";;;00047;"Kapuzinerstraße/0061";;;;;-72,62;-14,52;;4000;"A";"E";-72,62;00047;"Kapuzinerstraße/0061"
200126;"RE-2026-00048";;;00048;"";;;;;-146,23;-29,25;;4000;"A";"E";-146,23;00048;"RE-2026-00048"
200133;"RE-2026-00049";;;00049;"";;;;;-101,41;-20,28;;4000;"A";"E";-101,41;00049;"RE-2026-00049"
